Provinsi (PDRB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[SERI 2010] 1. PDRB Atas Dasar Harga Berlaku Menurut Pengeluaran (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pengeluaran Konsumsi Rumah Tangga,,,,,Pengeluaran Konsumsi LNPRT,,,,,Pengeluaran Konsumsi Pemerintah,,,,,Pembentukan Modal Tetap Bruto,,,,,Perubahan Inventori,,,,,Net Ekspor,,,,,PDRB,,,,
,2010,,,,,2010,,,,,2010,,,,,2010,,,,,2010,,,,,2010,,,,,2010,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
ACEH,13034.77,13357.87,14162.49,14883.3,55438.43,363.86,358.08,371.6,371.05,1464.59,3223.73,4305.22,4661.38,7381.85,19572.18,6852.06,7248.33,7773.18,7893,29766.57,29.43,123.47,619.32,168.94,941.16,1160.7,-264.25,-1905.94,-4628.2,-5637.69,24664.55,25128.72,25682.03,26069.93,101545.24
SUMATERA UTARA,42076.57,43737.66,45865.82,46652.26,178332.31,902.49,939.33,992.25,1005.58,3839.64,5086.05,6108.58,6635.04,7877.96,25707.62,23210.32,24010.87,25579.08,26739.33,99539.6,2290.37,2843.72,6168.2,989.84,12292.13,4366.54,2044.55,-285.77,5248.62,11373.94,77932.34,79684.7,84954.62,88513.58,331085.24
SUMATERA BARAT,14014.2,14508.36,15220.36,15678.8,59421.73,266.16,274.31,283.56,287.82,1111.85,2066.61,3124.85,3699.56,5407.09,14298.11,7024.2,7430.46,7847.32,8394.83,30696.8,9.61,28.08,-8.72,-117.91,-88.94,1412.02,337.8,-223.39,-1948.24,-421.81,24792.81,25703.86,26818.69,27702.39,105017.74
RIAU,25781.24,26351.68,27145.83,27745.3,107024.05,326.27,342.57,383.58,389.97,1442.39,3426.21,3607.17,4027.93,4856.22,15917.52,21682.68,23193.39,24686.21,25590.22,95152.51,1141.17,4578.53,5283.6,1395.71,12399.01,33880.92,37345.88,39517.48,45898.47,156642.74,86238.49,95419.22,101044.63,105875.9,388578.23
JAMBI,10449,11012.46,11553.36,11913.13,44927.95,101.12,108.85,112.55,117.77,440.29,1118.67,1793.23,2226.36,2885.93,8024.19,4744.67,5314.95,5581.12,5960.98,21601.72,106.62,306.56,526.9,76.95,1017.03,6206.87,5084.15,1672.46,1643.75,14607.24,22726.96,23620.2,21672.75,22598.5,90618.41
SUMATERA SELATAN,29312.71,30422,32405.92,32755.18,124895.82,603.65,640.9,695.66,698.99,2639.2,3185.75,3687.16,4062.37,4834.39,15769.67,17873,18805.52,19664.95,20021.16,76364.64,-769.88,88.83,1736.4,-3137.4,-2082.05,-5770.72,-4228.91,-7520,-6054.67,-23574.3,44434.52,49415.5,51045.31,49117.65,194012.97
BENGKULU,4246.93,4324.96,4600.06,4758.17,17930.12,178.63,199.22,201.97,178.38,758.2,1306.24,1374.5,1437.53,1563.19,5681.45,2633.2,2785.39,2965.47,3194.42,11578.48,114.14,127.99,131.23,113.12,486.49,-1832.08,-1892.77,-2072.92,-2284.39,-8082.17,6647.06,6919.28,7263.34,7522.88,28352.57
LAMPUNG,20729.05,21877.77,23223.02,23833.84,89663.68,417.17,456.79,495.58,531.73,1901.26,2083.73,2848.68,3344.91,4206.38,12483.7,10117.45,10598.01,11334.3,11877.57,43927.33,342.02,626.3,262.37,78.83,1309.53,1810,1409.65,814.55,-2758.86,1275.34,35499.42,37817.2,39474.73,37769.49,150560.84
KEP. BANGKA BELITUNG,4289.46,4416.96,4621.2,4656.97,17984.6,41.53,43.94,45.64,46.45,177.55,743.68,827.29,913.48,995.68,3480.13,1771.87,1885.55,1856.99,2001.31,7515.72,259.14,331.22,434.12,332.92,1357.39,1097.64,1051.79,1258.88,1638.21,5046.52,8203.31,8556.76,9130.3,9671.54,35561.9
